	SampleID	Day_cat	Animal	Day	type	BC	UN	WU
6	P_d0_P5	d0	P5	0	piglet	-0.214829214	-0.020987073	0.079905267
7	P_d0_P6	d0	P6	0	piglet	-0.20982865	0.010755251	0.1357971
8	P_d0_P7	d0	P7	0	piglet	-0.241189028	-0.12247072	0.149180525
9	P_d0_P8	d0	P8	0	piglet	-0.209144828	-0.181846693	0.106618984
10	P_d0_P9	d0	P9	0	piglet	-0.276687204	-0.034464278	0.10990416
11	P_d1_P1	d1	P1	1	piglet	-0.183357791	-0.158625082	0.058929755
12	P_d1_P10	d1	P10	1	piglet	-0.251116394	-0.064691196	0.18883973
13	P_d1_P2	d1	P2	1	piglet	-0.250063607	-0.152735287	0.1561079
14	P_d1_P3	d1	P3	1	piglet	-0.092805687	0.065146477	0.136246833
15	P_d1_P4	d1	P4	1	piglet	-0.253618519	-0.127530197	0.166818801
16	P_d1_P5	d1	P5	1	piglet	-0.204648252	-0.0825723	0.115960024
17	P_d1_P6	d1	P6	1	piglet	-0.232396316	-0.015652441	0.142396476
18	P_d1_P7	d1	P7	1	piglet	-0.207646148	-0.070180816	0.150105312
19	P_d1_P8	d1	P8	1	piglet	-0.236667416	-0.1824469	0.146310956
20	P_d1_P9	d1	P9	1	piglet	-0.278214618	0.00736632	0.156533858
21	P_d14_P1	d14	P1	14	piglet	0.142357371	0.320514209	-0.2499481
22	P_d14_P10	d14	P10	14	piglet	0.435711818	0.086873372	-0.215317848
23	P_d14_P2	d14	P2	14	piglet	0.136228284	-0.15117905	0.042034093
24	P_d14_P3	d14	P3	14	piglet	0.467933218	0.289607877	-0.233870828
25	P_d14_P4	d14	P4	14	piglet	0.456757279	0.256671406	-0.225516158
26	P_d14_P5	d14	P5	14	piglet	0.002261589	-0.039537566	-0.074152095
27	P_d14_P6	d14	P6	14	piglet	0.429836679	0.141571821	-0.270249112
28	P_d14_P7	d14	P7	14	piglet	0.394363264	0.131114166	-0.224709193
29	P_d14_P8	d14	P8	14	piglet	0.449504859	0.041717689	-0.276427108
30	P_d14_P9	d14	P9	14	piglet	0.124373819	0.074737664	-0.082808519
31	P_d2_P1	d2	P1	2	piglet	-0.175563504	-0.164319494	0.064294895
32	P_d2_P10	d2	P10	2	piglet	-0.234410508	-0.021015715	0.157337135
33	P_d2_P2	d2	P2	2	piglet	-0.239209019	-0.168614843	0.162020169
34	P_d2_P3	d2	P3	2	piglet	0.025918679	0.085522455	0.103263401
35	P_d2_P4	d2	P4	2	piglet	-0.24555635	-0.03963813	0.13707348
36	P_d2_P5	d2	P5	2	piglet	-0.213299772	-0.146159864	0.109189678
